seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,rent_per_sq_ft
OWNER,2,BHK,Independent Floor,kamakshipalya,20000.0,1140,Semi-Furnished,2,17.54385964912281
OWNER,2,BHK,Independent House,Kadugodi Industrial Area,8000.0,840,Semi-Furnished,2,9.523809523809524
OWNER,2,BHK,Independent House,Koramangala,21000.0,1000,Semi-Furnished,2,21.0
OWNER,1,BHK,Apartment,Sadduguntepalya,9000.0,550,Semi-Furnished,1,16.363636363636363
OWNER,3,BHK,Apartment,Chandapura,17000.0,1230,Furnished,3,13.821138211382113
OWNER,3,BHK,Apartment,Yelahanka New Town,14000.0,1200,Semi-Furnished,2,11.666666666666666
OWNER,3,BHK,Apartment,Bommanahalli,23000.0,1650,Semi-Furnished,2,13.93939393939394
OWNER,1,BHK,Independent Floor,Kengeri Satellite Town,8000.0,550,Semi-Furnished,1,14.545454545454545
OWNER,1,BHK,Independent Floor,T Dasarahalli,5000.0,500,Unfurnished,1,10.0
OWNER,2,BHK,Apartment,Attibele,10000.0,1260,Semi-Furnished,2,7.936507936507937
OWNER,1,BHK,Apartment,Kasavanahalli,9500.0,500,Semi-Furnished,1,19.0
OWNER,2,BHK,Independent Floor,Nandini Layout,14000.0,1000,Semi-Furnished,2,14.0
OWNER,1,BHK,Independent House,Bharat Nagar,8000.0,500,Semi-Furnished,1,16.0
OWNER,1,RK,Studio Apartment,Kadugodi Industrial Area,4000.0,400,Unfurnished,1,10.0
OWNER,2,BHK,Apartment,Kodihalli on Old Airport Road,31000.0,1175,Semi-Furnished,2,26.382978723404257
OWNER,2,BHK,Independent House,Hebbal,9500.0,1200,Semi-Furnished,2,7.916666666666667
OWNER,3,BHK,Independent Floor,Banaswadi,23000.0,1600,Semi-Furnished,2,14.375
OWNER,2,BHK,Independent House,Whitefield,16000.0,1500,Semi-Furnished,2,10.666666666666666
OWNER,2,BHK,Apartment,Whitefield Hope Farm Junction,22000.0,1260,Furnished,2,17.46031746031746
OWNER,2,BHK,Independent House,Kogilu,10000.0,600,Semi-Furnished,2,16.666666666666668
OWNER,2,BHK,Independent House,Hennur,12000.0,850,Semi-Furnished,2,14.117647058823529
OWNER,1,BHK,Independent Floor,hongasandra bangalore,9000.0,1200,Semi-Furnished,1,7.5
OWNER,1,BHK,Apartment,Banashankari,11000.0,500,Semi-Furnished,1,22.0
OWNER,1,BHK,Independent House,Krishnarajapura,8000.0,600,Semi-Furnished,1,13.333333333333334
OWNER,1,BHK,Independent Floor,Indira Nagar,8000.0,1200,Unfurnished,1,6.666666666666667
OWNER,3,BHK,Apartment,Whitefield Hope Farm Junction,23900.0,1414,Semi-Furnished,3,16.9024045261669
OWNER,2,BHK,Apartment,Harlur,24500.0,1126,Furnished,2,21.758436944937834
OWNER,2,BHK,Independent Floor,J. P. Nagar,12500.0,600,Semi-Furnished,1,20.833333333333332
OWNER,3,BHK,Independent House,T Dasarahalli,12000.0,900,Semi-Furnished,2,13.333333333333334
OWNER,1,BHK,Independent House,Indira Nagar,15000.0,800,Semi-Furnished,1,18.75
OWNER,1,RK,Studio Apartment,Begur,13500.0,600,Semi-Furnished,1,22.5
OWNER,2,BHK,Apartment,BTM Layout,21000.0,1150,Semi-Furnished,2,18.26086956521739
OWNER,2,BHK,Independent Floor,Basavanagudi,13000.0,1000,Unfurnished,1,13.0
OWNER,1,RK,Studio Apartment,Padmanabhanagar,4500.0,200,Semi-Furnished,1,22.5
OWNER,2,BHK,Independent Floor,Kadugodi,9000.0,650,Unfurnished,1,13.846153846153847
OWNER,1,RK,Studio Apartment,Rajajinagar,3500.0,150,Unfurnished,1,23.333333333333332
OWNER,2,BHK,Apartment,Bagalakunte,12000.0,700,Furnished,2,17.142857142857142
OWNER,2,BHK,Apartment,Kodihalli on Old Airport Road,14000.0,1190,Semi-Furnished,2,11.764705882352942
OWNER,1,BHK,Independent House,Vidyaranyapura,7000.0,600,Semi-Furnished,1,11.666666666666666
OWNER,2,BHK,Apartment,Vibhutipura,20000.0,1050,Semi-Furnished,2,19.047619047619047
OWNER,2,BHK,Apartment,BTM Layout,12500.0,550,Semi-Furnished,1,22.727272727272727
OWNER,1,BHK,Apartment,Electronic City Phase 1,19000.0,720,Semi-Furnished,2,26.38888888888889
OWNER,2,BHK,Apartment,Harlur,25000.0,1100,Furnished,2,22.727272727272727
OWNER,2,BHK,Independent Floor,Kaggadasapura,21000.0,1250,Semi-Furnished,2,16.8
OWNER,4,BHK,Villa,Kannur,65000.0,6400,Furnished,5,10.15625
OWNER,2,BHK,Independent House,Bendre Nagar,16500.0,1100,Semi-Furnished,2,15.0
OWNER,1,BHK,Apartment,Mathikere,9000.0,690,Semi-Furnished,1,13.043478260869565
OWNER,1,RK,Studio Apartment,Whitefield,6000.0,255,Furnished,1,23.529411764705884
OWNER,2,BHK,Apartment,Vibhutipura,16000.0,1096,Semi-Furnished,2,14.598540145985401
OWNER,2,BHK,Independent House,Yelahanka New Town,15000.0,700,Semi-Furnished,2,21.428571428571427
OWNER,1,BHK,Independent Floor,Hebbal,8000.0,660,Semi-Furnished,1,12.121212121212121
OWNER,1,BHK,Independent Floor,Munnekollal,11000.0,600,Semi-Furnished,2,18.333333333333332
OWNER,3,BHK,Independent House,Banashankari,16000.0,1200,Semi-Furnished,2,13.333333333333334
OWNER,1,BHK,Apartment,Electronic City Phase II,8000.0,650,Semi-Furnished,1,12.307692307692308
OWNER,1,BHK,Apartment,Hebbal,8500.0,500,Semi-Furnished,1,17.0
OWNER,3,BHK,Apartment,JP Nagar Phase 4,34000.0,1540,Semi-Furnished,2,22.07792207792208
OWNER,1,RK,Studio Apartment,J. P. Nagar,1700.0,250,Unfurnished,1,6.8
OWNER,2,BHK,Independent Floor,HBR Layout,17500.0,1200,Semi-Furnished,2,14.583333333333334
OWNER,2,BHK,Independent Floor,Maruthi Sevanagar,21000.0,1350,Semi-Furnished,3,15.555555555555555
OWNER,3,BHK,Apartment,Krishnarajapura,20000.0,1500,Furnished,3,13.333333333333334
OWNER,1,BHK,Independent House,Uttarahalli Hobli,8000.0,550,Semi-Furnished,1,14.545454545454545
OWNER,1,BHK,Independent House,Ejipura,10000.0,1200,Semi-Furnished,1,8.333333333333334
